arid,"dry, having little rain or water"
defy,"resist, to show little fear or regard for rules, to challenge"
enact,"to pass a law, legislate"
even,"regular, smooth, equitable"
feign,"to pretend, simulate, make believe, berpura2"
fertile,"able to produce abundantly, rich"
indiscriminate,"arbitrary, unplanned"
selective,discriminating
withstand,"survive, to persist"
unabridged,lengkap
mirage,dunia khayal
fraud,"penipuan, penggelapan"
harness,"mempergunakan, attach, connect, join"
brevity,"keringkasan, concise"
collegiate,berhubungan dengan kampus
supposition,"perkiraan, anggapan"
obscure,kabur
seize,menangkap meraih merampas mencengkram
abrupt,quick without warning
acclaim,"praise, applause, enthusiastic approval"
adverse,"negative, displeasing, bad, objectionable"
persistent,"continuous, refusing to give up, constant, tenacious"
autonomous,independent
objection,disapproval
disruptive,disturbing
haphazardly,"arbitrarily, careless"
whim,"tingkah, whimper, rengek"
advent,arrival
agile,"nimble, mudah bergerak"
albeit,although
frail,fragile
distribute,dispense
refine,"perfect, to improve"
worthwhile,"value in doing something, rewarding. It was worthwhile waiting"
alter,"modify, distort"
annnoying,bothersome
conform,adapt
enrich,"enhance, to make rich, to make something of"
chance meeting,"perjumpaan yang tidak disangka2, coincidence"
intolerable,"unbearable, difficult or painful to experience"
observe,notice
ongoing,current
vital,"indispensable, tidak dapat digantikan/diabaikan"
restore,"revitalize, to return to the original condition"
apparent,"visible, easily understood"
apparently,"seemingly, nampaknya"
assert,"declare, to express or defend oneself strongly"
astounding,"very suprising, astonishing, amaze, mengejutkan"
astute,"very intelligent, smart, perceptive"
expendable,dapat dihabiskan
enormous,giant
immense,giant
adjourned,"menunda, delaying"
adeptness,"kemahiran, kecakapan, keahlian"
adhere,"melekat, setia, taat, menempel, mengikuti"
adherent,pengikut penganut
adjoin ,berdampingan
appraisal,"penaksiran, assesment"
authorize,empower
resolute,"pasti, tegas, determine"
elicit,"to draw out, to evoke, extract"
petition,"appeal, to make request, permohonan, banding"
appealing,menarik
relinquish,"to give up control, abdicate"
resilient,"strong enough to recover from difficulty or disease, tabah"
tempt,"to make it attractive to do something wrong, entice"
baffle,"to confuse to a point at which no progress can be made, puzzle"
bear,"to produce, to carry, to show, to endure, yield, suffer"
orchard,kebun buah2
obstruct,block
blur,"to make something difficult to see, "
delicate,"needing careful treatment, sensitive, easily broken, fragile, "
enhance,"to incresase in a positive way, strenghten"
intrigue,"to interest greatly, fascinate"
persuade,"to change a belief by an argument or a reason, convince"
shed,"to throw off naturally, to give out, discard."
narrow,"thin, limited, tight, tapered, slender, slim, slight, constricted"
constricted,"trapped, limited, restricted"
chiefly,"most importantly, mostly"
coarse,"not fine or smooth , not delicate, rough"
commonplace,"ordinary, frequent, prevalent"
comparatively ,relatively
conventional,following accepted rules or standards
curious,"odd or strange; eager to learn, peculiar"
exceedingly ,"very, extremely"
immense,"massive, extremely large"
rigid,"firm , not easy to bend, inflexibe, stiff"
routinely,"ordnarily, regularly"
visibly,"noticeably ,can be seen, conspiciously"
assertively,"tegas, sombong, vigorously, insistently, demand = insist"
Drowsy,sleepy
preface,"pendahuluan,  mendahului"
unprecedented,belum pernah terjadi sebelumnya
appropiate,proper
clarify ,"explain, clarification"
conceal,"hide, to prevent being seen"
convenient,"near, practical, easy to reach, suitable to one's needs"
exert,"use, utilize"
diverse,"various, varied,"
prosperity,wealthy
exert,"use, utilize"
exertion,"effort, action"
thrive,"flourish, succeed, increase, burgeon, prosper"
sustainable,"berkelanjutan, maintable, supportable, viable, "
strive,bekerja keras
purposefully,"deliberately, thoughtfully, dengan sengaja, accidental, intentionally"
accidental,"kebetulan, coincidence. Ant : deliberately"
scarcely,"scarcity, kekurangan, inadequacy"
circumstances ,"condition, context, event, happening"
give,bestow
take,seize
flaw,"cacat, crack, fracture, defect"
creep,"to move slowly and quietly close to the ground, to begin to happen, craw"
crush,grind
cultivate,"grow, encourage growth of a relationship"
crop,"hasil panen, harvest"
encourage,"membesarkan hati, inspire, hearten, embolden, cheer, reassure"
dictate,"impose to state demands with power to enforce,"
distinguish,"to hear, see, or recognize differences, discriminate"
harvest,gather
mirror,reflect
settle,"colonize, to resolve a disagreement"
poise,tenang
engaging,menarik hati
captivating,menarik hati. Imposing
fumble,"meraba-raba, mistake, blunder, ess, misstep"
blurted,berkata tanpa mikir
cultivating,"cultivate kkt. 1 mengolah, menanami, mengusahakan. 2 mempererat, memperkuat. -cultivated ks. 1 sopan, terlatih. 2 tajam, terlatih. 3 yang diolah dan ditanami."
articulate,berbicara lancar
renowned,"terkenal, termahsyur"
remarkable,"bagus, luar biasa"
impose,memaksa kkt.1 menjatuhkan.2 mengadakan (sanction).3 menentukan (condition).4 membebankan.5 memaksakan.-kki. mengganggu.-imposing ks. yg mengesankan/mengagumkan.
hasten,"cepat, accelerate, "
haste,terburu2
clarify ,"interpret, explain"
grind,"crush, pekejraan yang membosankan"
creep,"orang yang tidak disukai, penjilat, crawl"
classify ,arrange
deep,"thorough, completely, entirely"
depend on,trust
dim,"faint, not bright or celar"
display,"exhibit, to show, reveal"
gigantic,"enormous, tremendous"
lasting,"forever, without end, enduring"
vibrant,"lively, powerful, full of action, brilliant, bright, bersemangat. VAIBREN"
dormant,"inactive, asleep"
drab,"colorless, boring, uninteresting, menjemukan"
dramatic,"exciting, something that captures the imagination"
elaborate,"complex, full of details, expound, explain, intricate"
elaborate,"antonymnya : simple, rudimentary, "
prime,"prepare, to make ready"
rudimentary,"basic, simple, not complex, elementary"
sensitive,"delicate, easily affected"
superficial,"simple, not deep, near the surface, shallow"
shallow,"low, thin, light, narrow, surface. antonym : deep"
terrifiying,frightening
vigorous,strong
digest ,"intisari, perpendekkan"
narrow,"shallow, dangkal, sempit"
dense,thick
amenity,"convenience, sth that makes life easier/more enjoyable"
disperse,"circulate, to cause to move in many different direction"
clutter,"mengusutkan, kacau balau"
dwelling,house
element,"a part of the whole, facet"
encircle,surround
erratic,"no regular pattern, inconsistent"
exaggerate,overstate
mention,"remark, to say, relate in written form"
pier,"dock, boats arrive"
prevalent,"commonplace, existing widely, or commonly"
benefit,"assist, to be useful"
blind,"unaware, to conceal"
broaden,enlarge
burgeon,"thrive, grow at a fast pace, prosper"
conspicuously,noticeably
demand,insist
endorse,"support, to express approval"
erode,"to wear away, deteriorate, memburuk"
evaporation,"to vanish, dissapear"
